cohort,threshold,nb_model,nb_apsiii,nb_all,nb_none
primary,0.39,0.10811294131480702,0.08279398939766591,0.05147325409346115,0.0
primary,0.4,0.10121538155010959,0.07464136282127912,0.03566447499501879,0.0
primary,0.41,0.09316715126586766,0.06720014791250872,0.019319805079680175,0.0
primary,0.42,0.08645423253704886,0.060388626666941475,0.0024115258569159526,0.0
primary,0.43,0.08131075596942147,0.053294847998657746,-0.015090026321032735,0.0
primary,0.44,0.07413436085731365,0.046238579113653824,-0.03321663393390839,0.0
primary,0.45,0.06881350866706515,0.04960468401890996,-0.052002390914524854,0.0
primary,0.46,0.06440249274977308,0.04462210267649599,-0.07148391667220128,0.0
primary,0.47,0.060025206103598766,0.0397743292469747,-0.09170059434526173,0.0
primary,0.48,0.05466343280150811,0.03536944227320796,-0.11269483654420903,0.0
primary,0.49,0.05006563294773977,0.03085627556461916,-0.1345123823588013,0.0
primary,0.5,0.044605499103407054,0.028018529587567245,-0.1572026300059774,0.0
primary,0.51,0.04061352574502603,0.024270527099064368,-0.18081901021018104,0.0
primary,0.52,0.03774407252440724,0.02134389320581789,-0.2054194062562265,0.0
primary,0.53,0.03228052549249024,0.01824185117828846,-0.2310666276659335,0.0
primary,0.54,0.02870071987317758,0.014572883910704534,-0.25782894565867115,0.0
primary,0.55,0.024697814969781483,0.011248920767749214,-0.28578070000664174,0.0
primary,0.56,0.022645764277563436,0.009332717491713306,-0.3150029886431563,0.0
primary,0.57,0.01916206786305063,0.00804327277276581,-0.3455844534953228,0.0
primary,0.58,0.017188256055560285,0.005500526570460818,-0.3776221785785448,0.0
primary,0.59,0.0146151939702302,0.004293441021678597,-0.41122271951948447,0.0
primary,0.6,0.012888523610280936,0.0025777047220561875,-0.44650328750747165,0.0
primary,0.61,0.010847242018790136,0.0018583229880300995,-0.4835931153922787,0.0
primary,0.62,0.008710321829678801,0.0018167804448359394,-0.5226350394815491,0.0
primary,0.63,0.006730505161467504,0.001978966414112858,-0.5637873378459153,0.0
primary,0.64,0.00545427375971309,0.000946403666068938,-0.6072258750083022,0.0
primary,0.65,0.0037464776705661285,0.0005443600034155914,-0.6531466142942537,0.0
primary,0.66,0.003256742027354872,0.0002593087444182694,-0.7017685735382022,0.0
primary,0.67,0.003113169954174131,4.528247206071409e-05,-0.7533373181908751,0.0
primary,0.68,0.0030913777644949146,-1.8679019725045343e-05,-0.8081291093843401,0.0
primary,0.69,0.0038081098278155874,-0.0006001388272949892,-0.8664558548483512,0.0
primary,0.7,0.0022165770073719823,-0.0009713090257023318,-0.9286710500099629,0.0
primary,0.71,0.0019786878825978488,-0.0005410474678978507,-0.9951769482861688,0.0
primary,0.72,0.0010140039279310058,-0.0006190760823157714,-1.0664332678678168,0.0
primary,0.73,0.0006032631555644118,-0.0001272940603484536,-1.1429678333444024,0.0
primary,0.74,0.0005977286312014354,7.471607890017931e-05,-1.225389673088418,0.0
primary,0.75,-0.00014943215780035927,0.0,-1.314405260011955,0.0
primary,0.76,-0.0003611277146842,0.0,-1.4108388125124531,0.0
primary,0.77,-0.0011629720107071391,0.0,-1.5156578913173424,0.0
