hospitalid,n,events,event_rate,auc,se,cal_intercept
140,58,32,0.5517241379310345,0.8233173076923076,0.05442773213879529,2.0932349099122987
175,48,23,0.4791666666666667,0.8365217391304348,0.05977409614972115,0.46380848736293706
155,56,17,0.30357142857142855,0.8386123680241326,0.06477750876744841,0.3842412513694678
210,37,21,0.5675675675675675,0.8422619047619048,0.06468773349308099,1.6696573858644745
253,46,18,0.391304347826087,0.8452380952380951,0.06372491168833998,1.9280912051006118
439,26,13,0.5,0.8461538461538463,0.07898909631226149,1.3022107911023757
420,244,87,0.35655737704918034,0.8525514312907241,0.027778213776509998,0.8334974047039938
337,31,11,0.3548387096774194,0.8545454545454545,0.07892309978397946,-0.5640776224059376
459,37,17,0.4594594594594595,0.8588235294117648,0.06475269621863908,1.2487827987716094
183,99,43,0.43434343434343436,0.8600498338870431,0.03973522993554172,1.19475242447861
112,26,16,0.6153846153846154,0.8625,0.0719331136294212,3.4801256496703266
206,76,18,0.23684210526315788,0.863984674329502,0.057581348093460466,0.6958843400845096
